Pregunta ID,Respuesta estudiante,Nota Profesor,Nota Agente (Ensamble),Diferencia,Rango de nota,Nota Conceptos (Exp 1),Nota Rango (Exp 2),Nota Directa (Exp 3)
Q004474161,"No sé qué es TDD ni el ciclo rojo verde, yo programo directamente el código y hago pruebas manuales. Queda claro su beneficio.",1,0,-1,<INSUFICIENTE>,0,0,0
Q799823558,"En mi opinión, La diferencia principal entre el enfoque tradicional de testing y el TDD consiste en el momento de elaboración de los tests, ya que en el primero se escribe el código y luego el test, al contrario que en el segundo. TDD ayuda a tener menos bugs porque los tests son obligatorios en cada fase. Esto es fundamental.",5,7,2,<BUENO>,4.29,7.5,7
Q675600740,"Básicamente, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes. Es un concepto clave.",8,7,-1,<BUENO>,5,7.5,7
Q205293180,"La validación de entradas en TDD nos obliga a escribir pruebas para valores límite (números negativos, cadenas vacías, formatos incorrectos) antes de codificar la lógica del negocio. Al asegurar estas validaciones por test, evitamos errores imprevistos en producción. Esto hace que el código sea mucho más robusto frente a fallos y fácil de mantener. Esto es fundamental.",8,7,-1,<BUENO>,6.67,7.5,7
Q004474161,"Básicamente, El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio. Esto es fundamental.",8,7,-1,<BUENO>,5.56,7.5,7
Q799823558,"En mi opinión, El testing tradicional sirve para instalar sistemas operativos como Windows en la computadora. Es un concepto clave.",1,1,0,<INSUFICIENTE>,0,1.5,1
Q675600740,"En el desarrollo, Las buenas prácticas son no hacer tests para avanzar más rápido en el proyecto.",1,1,0,<INSUFICIENTE>,0,1.5,1
Q205293180,"Considero que En TDD validamos las entradas haciendo pruebas para los casos en que el usuario ponga datos malos, por ejemplo letras en campos numéricos. Esto ayuda a la robustez del código ya que el programa no se colgará fácilmente. De esta manera funciona.",6,7,1,<BUENO>,6.67,7.5,7
Q004474161,"En el desarrollo, El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio. De esta manera funciona.",8,7,-1,<BUENO>,5.56,7.5,7
Q799823558,"Para responder a esto: En TDD, los tests se escriben al inicio y actúan como especificación de diseño, mientras que en el tradicional se escriben al final del desarrollo. Esto hace que TDD sea preventivo y guíe la arquitectura del código (menos acoplamiento). En el tradicional, el testing es reactivo y a veces opcional. Además, TDD asegura una cobertura del 100% de la funcionalidad implementada, mientras que en el tradicional suele ser parcial y más propensa a omitir casos críticos.",9,7,-2,<EXCELENTE>,7.14,9.5,7
Q675600740,"Básicamente, Las buenas prácticas de TDD son comentar los tests, ponerles nombres claros que describan qué hacen y correrlos siempre antes de hacer un commit. Esto ayuda a la calidad del código. De esta manera funciona.",4,4,0,<ACEPTABLE>,0,5,4
Q205293180,"Básicamente, Validar entradas en TDD es crucial para definir claramente el comportamiento de los métodos ante datos incorrectos o maliciosos desde la fase roja. Esto se relaciona directamente con la robustez del software, ya que previene fallos inesperados en tiempo de ejecución (como NullPointerExceptions o divisiones por cero) y asegura un diseño tolerante a fallos.",8,7,-1,<BUENO>,5,7.5,7
Q004474161,"Básicamente, El ciclo TDD es rojo, verde y refactor. Haces el test, luego el código y después mejoras lo que hiciste. Es importante porque hace que el software tenga menos fallas y ande mejor. De esta manera funciona.",4,7,3,<BUENO>,5.56,7.5,7
Q799823558,"Básicamente, El testing tradicional sirve para instalar sistemas operativos como Windows en la computadora. Esto es fundamental.",1,1,0,<INSUFICIENTE>,0,1.5,1
Q675600740,"Desde mi punto de vista, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes. Esto es fundamental.",8,7,-1,<BUENO>,5,7.5,7
Q205293180,"En el desarrollo, Validar entradas sirve para que no pongas letras en lugar de números en el formulario. Eso hace que el programa ande mejor y sea más robusto. Esto es fundamental.",4,7,3,<ACEPTABLE>,6.67,5,7
Q004474161,"Considero que TDD o desarrollo guiado por pruebas se compone de un ciclo de tres etapas: Rojo, Verde y Refactor. En el Rojo se escribe una prueba automatizada que falla (pues no hay código para satisfacerla). En el Verde se implementa el mínimo código para que pase la prueba. En el Refactor se limpia y optimiza el diseño manteniendo el comportamiento. Su gran valor es proactivo, ya que los tests definen el diseño del software y previenen bugs desde el inicio. Es un concepto clave.",10,7,-3,<BUENO>,4.44,7.5,7
Q799823558,"En mi opinión, El testing tradicional sirve para instalar sistemas operativos como Windows en la computadora. De esta manera funciona.",1,1,0,<INSUFICIENTE>,0,1.5,1
Q675600740,"Desde mi punto de vista, Como buena práctica hay que intentar escribir los tests antes de escribir la funcionalidad. El impacto que esto genera en el software es que el código queda más ordenado y con menos fallos. De esta manera funciona.",4,7,3,<ACEPTABLE>,3.33,5,7
Q205293180,"Básicamente, La validación de entradas en TDD nos obliga a escribir pruebas para valores límite (números negativos, cadenas vacías, formatos incorrectos) antes de codificar la lógica del negocio. Al asegurar estas validaciones por test, evitamos errores imprevistos en producción. Esto hace que el código sea mucho más robusto frente a fallos y fácil de mantener. Queda claro su beneficio.",8,7,-1,<BUENO>,6.67,7.5,7
Q004474161,"Para responder a esto: El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio. Es un concepto clave.",8,7,-1,<BUENO>,5.56,7.5,7
Q799823558,"Desde mi punto de vista, La diferencia principal entre el enfoque tradicional de testing y el TDD consiste en el momento de elaboración de los tests, ya que en el primero se escribe el código y luego el test, al contrario que en el segundo. TDD ayuda a tener menos bugs porque los tests son obligatorios en cada fase. De esta manera funciona.",5,7,2,<BUENO>,4.29,7.5,7
Q675600740,"En el desarrollo, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes.",8,8,0,<BUENO>,5,7.5,8
Q205293180,"Considero que Es importante validar las entradas porque si el software recibe datos incorrectos puede dar un error en la base de datos.",4,4,0,<ACEPTABLE>,3.33,5,4
Q004474161,"En mi opinión, En TDD seguimos el ciclo de: 1. Rojo (escribir test que falla), 2. Verde (hacer código para que pase el test), 3. Refactor (mejorar y limpiar el código sin cambiar su funcionalidad). Es crucial en desarrollo porque previene errores y nos da confianza al hacer cambios futuros sobre el sistema. Queda claro su beneficio.",8,7,-1,<BUENO>,5.56,7.5,7
Q799823558,"Desde mi punto de vista, TDD es para proyectos ágiles y tradicional es para proyectos con metodología en cascada donde se testea al final. Es un concepto clave.",3,4,1,<ACEPTABLE>,1.43,5,4
Q675600740,"En mi opinión, Las buenas prácticas son: hacer tests independientes, que no dependan del orden de ejecución, escribir código simple para pasar la prueba verde, y refactorizar siempre en cada ciclo. Esto impacta haciendo que el software sea robusto y libre de errores graves. Esto es fundamental.",6,7,1,<BUENO>,5,7.5,7
Q205293180,"Desde mi punto de vista, La validación de entradas sirve para configurar la base de datos de Oracle en un servidor Linux local. Así lo veo yo.",1,0,-1,<INSUFICIENTE>,0,1.5,0
Q004474161,"Considero que El ciclo TDD tiene 3 pasos: hacer el test para que falle (rojo), programar el código (verde) y después mejorar el código (refactor). La importancia es que ayuda a que el código esté más ordenado. Esto es fundamental.",4,7,3,<BUENO>,4.44,7.5,7
Q799823558,"La diferencia es que TDD es proactivo (haces los tests antes de codificar la lógica) y el tradicional es reactivo (haces pruebas después de codificar). TDD asegura que escribas solo el código necesario, en cambio el enfoque tradicional puede llevar a escribir código de más que luego es difícil de testear.",7,7,0,<BUENO>,2.86,7.5,7
Q675600740,"Desde mi punto de vista, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes. Esto es fundamental.",8,7,-1,<BUENO>,5,7.5,7
Q205293180,"Para responder a esto: Validar entradas sirve para que el usuario no pueda ingresar números negativos en los campos de texto del formulario HTML. Es un concepto clave.",2,2,0,<INSUFICIENTE>,3.33,1.5,2
Q004474161,"Básicamente, El ciclo TDD consiste en testear el código del programa usando un archivo de tests que verifica las variables. De esta manera funciona.",3,4,1,<ACEPTABLE>,1.11,5,4
Q799823558,"Desde mi punto de vista, TDD y tradicional son dos herramientas para compilar programas de computadora. Queda claro su beneficio.",2,1,-1,<INSUFICIENTE>,0,1.5,1
