Pregunta ID,Respuesta estudiante,Nota Profesor,Nota Agente (Ensamble),Diferencia,Rango de nota,Nota Conceptos (Exp 1),Nota Rango (Exp 2),Nota Directa (Exp 3)
Q675600740,"Básicamente, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes. Es un concepto clave.",8,5.75,-2.25,<ACEPTABLE>,5.5,5,7
Q799823558,"En mi opinión, La diferencia principal entre el enfoque tradicional de testing y el TDD consiste en el momento de elaboración de los tests, ya que en el primero se escribe el código y luego el test, al contrario que en el segundo. TDD ayuda a tener menos bugs porque los tests son obligatorios en cada fase. Esto es fundamental.",5,5.18,0.18,<ACEPTABLE>,4.86,5,6
Q004474161,"No sé qué es TDD ni el ciclo rojo verde, yo programo directamente el código y hago pruebas manuales. Queda claro su beneficio.",0,1.5,1.5,<INSUFICIENTE>,1,2,2
Q205293180,"La validación de entradas en TDD nos obliga a escribir pruebas para valores límite (números negativos, cadenas vacías, formatos incorrectos) antes de codificar la lógica del negocio. Al asegurar estas validaciones por test, evitamos errores imprevistos en producción. Esto hace que el código sea mucho más robusto frente a fallos y fácil de mantener. Esto es fundamental.",8,6.75,-1.25,<ACEPTABLE>,7,5,8
Q799823558,"En mi opinión, El testing tradicional es cuando haces pruebas con prints en la consola y TDD es cuando usas librerías. Es un concepto clave.",1,1.75,0.75,<INSUFICIENTE>,1,2,3
Q004474161,"Básicamente, El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio. Esto es fundamental.",8,7.38,-0.62,<EXCELENTE>,6,9.5,8
Q675600740,"En el desarrollo, Las buenas prácticas son no hacer tests para avanzar más rápido en el proyecto.",0,1.25,1.25,<INSUFICIENTE>,1,2,1
Q205293180,"Considero que En TDD validamos las entradas haciendo pruebas para los casos en que el usuario ponga datos malos, por ejemplo letras en campos numéricos. Esto ayuda a la robustez del código ya que el programa no se colgará fácilmente. De esta manera funciona.",6,6.25,0.25,<ACEPTABLE>,7,5,6
Q799823558,"Para responder a esto: En TDD, los tests se escriben al inicio y actúan como especificación de diseño, mientras que en el tradicional se escriben al final del desarrollo. Esto hace que TDD sea preventivo y guíe la arquitectura del código (menos acoplamiento). En el tradicional, el testing es reactivo y a veces opcional. Además, TDD asegura una cobertura del 100% de la funcionalidad implementada, mientras que en el tradicional suele ser parcial y más propensa a omitir casos críticos.",9,7.59,-1.41,<BUENO>,7.43,7.5,8
Q004474161,"En el desarrollo, El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio. De esta manera funciona.",8,6.62,-1.38,<BUENO>,6,7.5,7
Q675600740,"Básicamente, Las buenas prácticas de TDD son comentar los tests, ponerles nombres claros que describan qué hacen y correrlos siempre antes de hacer un commit. Esto ayuda a la calidad del código. De esta manera funciona.",4,2.5,-1.5,<ACEPTABLE>,1,5,3
Q205293180,"Básicamente, Validar entradas en TDD es crucial para definir claramente el comportamiento de los métodos ante datos incorrectos o maliciosos desde la fase roja. Esto se relaciona directamente con la robustez del software, ya que previene fallos inesperados en tiempo de ejecución (como NullPointerExceptions o divisiones por cero) y asegura un diseño tolerante a fallos.",8,5.75,-2.25,<ACEPTABLE>,5.5,5,7
Q004474161,"Básicamente, El ciclo TDD es rojo, verde y refactor. Haces el test, luego el código y después mejoras lo que hiciste. Es importante porque hace que el software tenga menos fallas y ande mejor. De esta manera funciona.",4,5.75,1.75,<ACEPTABLE>,6,5,6
Q799823558,"Básicamente, El testing tradicional es cuando haces pruebas con prints en la consola y TDD es cuando usas librerías. Esto es fundamental.",1,1.75,0.75,<INSUFICIENTE>,1,2,3
