step,pregunta,respuesta,esperado,nota_directa,tiempo,entropia,perplejidad,masa_acumulada_top_3,masa_notas,masa_no_notas,margen_logit,diferencia_probabilidad,top_3_vocabulario_json,top_3_notas_json
0,Explica el ciclo TDD  y su importancia en el desarrollo de software.,"El TDD en inglés es Test-Driven Development, es un mecanismo de test independientes para el proceso de un proyecto. En primer lugar, está el test en rojo, es decir, los test de la práctica están fallando porque no está implementado. En segundo lugar, el test verde, es decir, se ha implementado los métodos necesarios para probar la ejecución. No importaría el largo del código sino su funcionamiento. Y, por último, está el refactor, se ha corregido dicha implementación para mejorar el código y su implementación. En otras palabras, no se modifica su funcionamiento, pero sí el código para hacerlo más dinámico. Es un ciclo el cuál empieza en rojo -> verde -> refactor. Nos ayuda a comprobar si los métodos implementados han sido utilizados en los test y qué está fallando.",9.0,9.0,15.262,0.020012610291684295,1.0139683426337454,0.9999800324440002,0.9999870092742525,1.2990725747452636e-05,6.375,0.9964768942445517,"[{""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.9981774091720581, ""es_nota"": true}, {""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.0017005149275064468, ""es_nota"": true}, {""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.00010212384950136766, ""es_nota"": true}]","[{""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.9981774091720581, ""logit"": 25.125}, {""nota"": 1, ""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.0017005149275064468, ""logit"": 18.75}, {""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.00010212384950136766, ""logit"": 15.9375}]"
1,Compara TDD con un enfoque tradicional de testing en el desarrollo de software.,"El TDD nos ayuda a comprobar que la implementación de los métodos de la práctica y su uso sean correctos. Se prueba en un inicio que los test funcionan, es decir, fallan porque no hay implementación. Pasamos a implementar los métodos y comprobar su funcionamiento, es decir, pasarían a los test en verde. Corregimos el código, sin modificar su funcionamiento y logar la refactorización. Esto sería el TDD. Sin embargo, el enfoque tradicional de testing sería implementar los métodos de la práctica y al ejecutar, poder comprobar si funciona o no. Ahí sí falla, se cambiaría el método del test y se volvería a ejecutar. En este enfoque sería de muy buena práctica usar git para poder saber en qué punto de los test se encuentra la ejecución.",7.0,9.0,14.984,0.3902191674601849,1.3105924877962951,0.9999724626541138,0.9999818510140385,1.814898596153025e-05,2.5,0.8481195643544197,"[{""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.9239630699157715, ""es_nota"": true}, {""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.07584350556135178, ""es_nota"": true}, {""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.00016590699669905007, ""es_nota"": true}]","[{""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.9239630699157715, ""logit"": 24.875}, {""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.07584350556135178, ""logit"": 22.375}, {""nota"": 1, ""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.00016590699669905007, ""logit"": 16.25}]"
2,Describe las buenas prácticas en TDD y su impacto en la calidad del software.,"Las buenas prácticas del TDD son: 

* El código de cada test tiene que ser independiente de cada uno.

* La implementación debe de ser clara, con comentarios explicando qué realiza cada método.

* La implementación de cada test, de cada método para comprobar el test, tiene que ser independiente de los demás. 

* Primero se haría el test en rojo para comprobar su funcionalidad, en segundo lugar, se implementaría su funcionalidad que pasaría al test en verde. Y por último, haríamos el refactor mejorando el código y su implementación sin modificar su funcionalidad, para un buen uso del mismo y que esté mejor desarrollado.

El impacto de las buenas prácticas en el TDD causarían un impacto bueno en la calidad del software ya que vas probando si dichos test funcionan y comprobamos que esos métodos usados se ejecutan. En el caso que no se ejecute, podemos comprobar con los test en dónde en especifico está fallando.",6.0,8.0,15.397,0.053870408769906404,1.0380460230450441,0.9999901652336121,0.9999911912233681,8.80877663189672e-06,5.125,0.9880737173371017,"[{""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.9939841628074646, ""es_nota"": true}, {""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.005910445470362902, ""es_nota"": true}, {""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 9.553346171742305e-05, ""es_nota"": true}]","[{""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.9939841628074646, ""logit"": 25.875}, {""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.005910445470362902, ""logit"": 20.75}, {""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 9.553346171742305e-05, ""logit"": 16.625}]"
3,Explica la importancia de validar entradas en el contexto de TDD y cómo se relaciona con la robustez del software.,"La importancia de validar las entradas en el TDD es necesaria ya que implementa el código con datos verificados, es decir, si estamos comprobando los alumnos de una universidad, un alumno no puede tener años en negativo (-0 años), igual que si comprobamos el ID del estudiante, necesitamos verificar si existe ese ID, el alumno, etc. 

Es importante validar esos datos para realizar un buen proyecto y buen software a comprobar con el TDD ya que va a estar comprobado los test que se implementen en el código.",7.0,8.0,14.74,0.020464294655270384,1.0142858493383653,0.9999931454658508,0.9999936771454458,6.322854554152713e-06,6.375,0.9964340518927202,"[{""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.9981344938278198, ""es_nota"": true}, {""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.0017004419350996614, ""es_nota"": true}, {""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.00015816571249160916, ""es_nota"": true}]","[{""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.9981344938278198, ""logit"": 26.375}, {""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.0017004419350996614, ""logit"": 20.0}, {""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.00015816571249160916, ""logit"": 17.625}]"
4,Explica el ciclo TDD  y su importancia en el desarrollo de software.,"Es una metodología en el desarrolo de proyectos software que se divide en fases, la fase en rojo nos informa que los test no han sido cubiertos de forma correcta y por lo tanto han fallado, la fase verde es la que nos indica que esos test han sido satisfactorios y cubren con lo requerido, y la ultima fase llamada refactor, es la que se encarga de limpiar el codigo y su diseño, evita codigo duplicado y por lo tanto el fin de este ciclo Test Driven Development",8.0,9.0,14.211,0.037569636658059895,1.026383324630255,0.9999696612358093,0.9999782665394288,2.1733460571216057e-05,6.125,0.9942880640737712,"[{""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.9964678287506104, ""es_nota"": true}, {""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.0021797646768391132, ""es_nota"": true}, {""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.0013220940018072724, ""es_nota"": true}]","[{""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.9964678287506104, ""logit"": 25.25}, {""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.0021797646768391132, ""logit"": 19.125}, {""nota"": 1, ""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.0013220940018072724, ""logit"": 18.625}]"
5,Compara TDD con un enfoque tradicional de testing en el desarrollo de software.,"El Test Driven Development nos permite probar paso a paso durante el ciclo del desarrolo software a diferencia del tradicional que es mas rigido, el TDD nos permite realizar pruebas mas frecuentes y de forma mas flexible, por ejemplo, si tuvieramos que desarrollar un software, seria mas fiable una metodologia TDD antes que la tradicional para asegurar que las funcionalidades requeridas se cumplen de forma adecuada sin errores y cubriendo los test.",6.0,7.0,14.282,0.10143929510655779,1.0728432437399724,0.9999926090240479,0.9999933329457901,6.667054209930079e-06,4.375,0.9747635321691632,"[{""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.9871904253959656, ""es_nota"": true}, {""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.012426893226802349, ""es_nota"": true}, {""token"": ""6"", ""token_id"": 236825, ""probabilidad"": 0.000375259667634964, ""es_nota"": true}]","[{""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.9871904253959656, ""logit"": 25.75}, {""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.012426893226802349, ""logit"": 21.375}, {""nota"": 6, ""token"": ""6"", ""token_id"": 236825, ""probabilidad"": 0.000375259667634964, ""logit"": 17.875}]"
6,Describe las buenas prácticas en TDD y su impacto en la calidad del software.,"Las buenas practicas del Test Driven Development serian el hecho de realizar test de cobertura que definan lo que queremos que cubra el codigo, es una buena practica el realizar primero los test antes que el codigo para que los test diseñen el codigo y no viceversa, otras buenas practicas son el realizar pruebas y test a lo largo del ciclo del software, no solo al final, ya que si realizamos test a lo largo del proyecto nos facilitaria posibles errores graves que pudieran suceder si fueramos a arreglarlo al final del desarrolo, esta metodologia tiene un gran impacto positivo siendo mas eficiente a la hora de seguir el ciclo de vida del software.",8.0,8.0,15.009,0.7656580953098688,1.7001453544708378,0.9999814033508301,0.999982078740499,1.792125950095258e-05,1.25,0.5545822083950043,"[{""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.7772753238677979, ""es_nota"": true}, {""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.22269311547279358, ""es_nota"": true}, {""token"": "" "", ""token_id"": 236743, ""probabilidad"": 1.2981819963897578e-05, ""es_nota"": false}]","[{""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.7772753238677979, ""logit"": 24.625}, {""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.22269311547279358, ""logit"": 23.375}, {""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 6.527668574562995e-06, ""logit"": 12.9375}]"
7,Explica la importancia de validar entradas en el contexto de TDD y cómo se relaciona con la robustez del software.,"Es importante validar las entradas del Test Driven Development en relacion al contexto, cuanto mas test y validaciones se realicen, y estas se cubran y se aprueben, mayor sera la fiabilidad del software, haciendolo mas estable y por ello reduciendo considerablemente errores criticos. Son buenas practicas si queremos un software seguro.",7.0,9.0,14.109,0.6461371889911598,1.5649723730046867,0.999966025352478,0.9999751378312655,2.4862168734540724e-05,1.625,0.6709231436252594,"[{""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.8354288339614868, ""es_nota"": true}, {""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.16450569033622742, ""es_nota"": true}, {""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 3.144375659758225e-05, ""es_nota"": true}]","[{""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.8354288339614868, ""logit"": 24.5}, {""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.16450569033622742, ""logit"": 22.875}, {""nota"": 1, ""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 3.144375659758225e-05, ""logit"": 14.3125}]"
8,Explica el ciclo TDD  y su importancia en el desarrollo de software.,"El ciclo TDD (Test-Driven Development) consiste en 3 pasos cíclicos para desarrollar un codigo por completo de manera fiable y modular. Los 3 pasos son los siguientes:

1. Rojo: se hacen test que luego comprobarán el codigo del proyecto. Además, se prueban para que el test falle.

2. Verde: se desarrolla el minimo codigo con el que se pueda pasar el test de esa parte del codigo. Y se prueba para que todos los test pasen.

3. Refactor: se mejora el codigo manteniendo las pruebas test en verde.",10.0,10.0,14.854,0.32784936571315726,1.2551409330030106,0.9999983310699463,0.9999983546332639,1.6453667360805113e-06,2.75,0.879824735224247,"[{""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.9399112462997437, ""es_nota"": true}, {""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.060086511075496674, ""es_nota"": true}, {""token"": "" "", ""token_id"": 236743, ""probabilidad"": 6.086820576456375e-07, ""es_nota"": false}]","[{""nota"": 1, ""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.9399112462997437, ""logit"": 26.25}, {""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.060086511075496674, ""logit"": 23.5}, {""nota"": 0, ""token"": ""0"", ""token_id"": 236771, ""probabilidad"": 4.1834059061329754e-07, ""logit"": 11.625}]"
9,Compara TDD con un enfoque tradicional de testing en el desarrollo de software.,"El enfoque tradicional de testing era que priemro se desarrollaba el codigo del proyecto y luego se hacián test para probar que el codigo fucnionase correctamente. Sin embargo, el enfoque TDD, es al contrario, primero se hacen los test y luego se desarrolla el codigo del proyacto que va a hacer que esos test los pasen.

 

El enfoque de desarrollo del TDD hace que el codigo sea mas limpio, fiable y modular. Ya que esta estructura junto con los frameworks de testing pueden confirmar que se ha desarrollado exclusivamente el codigo justo y necesario para cada funcionalidad.",9.0,10.0,14.904,1.0002983738583775,2.000413676773594,0.9999894499778748,0.9999918438302794,8.156169720607842e-06,0.0,0.0,"[{""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.49999308586120605, ""es_nota"": true}, {""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.49999308586120605, ""es_nota"": true}, {""token"": "" "", ""token_id"": 236743, ""probabilidad"": 3.270194611104671e-06, ""es_nota"": false}]","[{""nota"": 1, ""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.49999308586120605, ""logit"": 24.375}, {""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.49999308586120605, ""logit"": 24.375}, {""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 3.270194611104671e-06, ""logit"": 12.4375}]"
