Pregunta ID,Respuesta estudiante,Nota Profesor,Nota Agente (Ensamble),Diferencia,Rango de nota,Nota Conceptos (Exp 1),Nota Rango (Exp 2),Nota Directa (Exp 3)
Q675600740,"Básicamente, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes. Es un concepto clave.",8,7,-1,<BUENO>,5.5,7.5,7
Q799823558,"En mi opinión, La diferencia principal entre el enfoque tradicional de testing y el TDD consiste en el momento de elaboración de los tests, ya que en el primero se escribe el código y luego el test, al contrario que en el segundo. TDD ayuda a tener menos bugs porque los tests son obligatorios en cada fase. Esto es fundamental.",5,5,0,<ACEPTABLE>,4.86,5,5
Q004474161,"No sé qué es TDD ni el ciclo rojo verde, yo programo directamente el código y hago pruebas manuales. Queda claro su beneficio.",1,2,1,<INSUFICIENTE>,1,2,2
Q205293180,"La validación de entradas en TDD nos obliga a escribir pruebas para valores límite (números negativos, cadenas vacías, formatos incorrectos) antes de codificar la lógica del negocio. Al asegurar estas validaciones por test, evitamos errores imprevistos en producción. Esto hace que el código sea mucho más robusto frente a fallos y fácil de mantener. Esto es fundamental.",8,8,0,<BUENO>,7,7.5,8
Q004474161,"Básicamente, El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio. Esto es fundamental.",8,7,-1,<BUENO>,6,7.5,7
Q799823558,"En mi opinión, El testing tradicional sirve para instalar sistemas operativos como Windows en la computadora. Es un concepto clave.",1,2,1,<INSUFICIENTE>,1,2,2
Q675600740,"En el desarrollo, Las buenas prácticas son no hacer tests para avanzar más rápido en el proyecto.",1,1,0,<INSUFICIENTE>,1,2,1
Q205293180,"Considero que En TDD validamos las entradas haciendo pruebas para los casos en que el usuario ponga datos malos, por ejemplo letras en campos numéricos. Esto ayuda a la robustez del código ya que el programa no se colgará fácilmente. De esta manera funciona.",6,7,1,<ACEPTABLE>,7,5,7
Q799823558,"Para responder a esto: En TDD, los tests se escriben al inicio y actúan como especificación de diseño, mientras que en el tradicional se escriben al final del desarrollo. Esto hace que TDD sea preventivo y guíe la arquitectura del código (menos acoplamiento). En el tradicional, el testing es reactivo y a veces opcional. Además, TDD asegura una cobertura del 100% de la funcionalidad implementada, mientras que en el tradicional suele ser parcial y más propensa a omitir casos críticos.",9,8,-1,<BUENO>,7.43,7.5,8
Q004474161,"En el desarrollo, El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio. De esta manera funciona.",8,7,-1,<BUENO>,6,7.5,7
