question_id,nota-por-varios-conceptos,experimento-categoria,Experimento-nota,esperado
Q004474161,8,<ACEPTABLE>,7,9
Q799823558,8,<ACEPTABLE>,6,7
Q675600740,8,<ACEPTABLE>,8,6
Q205293180,"3,5",<ACEPTABLE>,5,7
Q004474161,"7,5",<ACEPTABLE>,8,8
Q799823558,2,<ACEPTABLE>,4,6
Q675600740,6,<ACEPTABLE>,8,8
Q205293180,"6,5",<ACEPTABLE>,8,7
Q004474161,9,<ACEPTABLE>,7,10
Q799823558,8,<ACEPTABLE>,8,9
Q675600740,0,<INSUFICIENTE>,5,6
Q004474161,9,<EXCELENTE>,8,10
Q799823558,8,<ACEPTABLE>,8,8
Q675600740,2,<INSUFICIENTE>,8,6
Q205293180,"5,5",<INSUFICIENTE>,8,3
Q004474161,8,<ACEPTABLE>,7,9
Q799823558,3,<INSUFICIENTE>,5,6
Q675600740,-1,<INSUFICIENTE>,4,3
Q205293180,"5,5",<INSUFICIENTE>,6,6
Q004474161,9,<EXCELENTE>,7,10
Q799823558,8,<EXCELENTE>,6,10
Q675600740,4,<ACEPTABLE>,8,9
Q205293180,"6,5",<INSUFICIENTE>,8,5
Q004474161,8,<ACEPTABLE>,7,5
Q799823558,8,<ACEPTABLE>,5,7
Q675600740,0,<ACEPTABLE>,6,6
Q205293180,"3,5",<INSUFICIENTE>,8,4
Q004474161,8,<ACEPTABLE>,6,8
Q799823558,8,<INSUFICIENTE>,4,6
Q675600740,2,<INSUFICIENTE>,8,6
Q205293180,"6,5",<ACEPTABLE>,7,5
Q004474161,9,<ACEPTABLE>,8,10
Q799823558,0,<ACEPTABLE>,7,4
Q675600740,6,<INSUFICIENTE>,8,3
Q205293180,"6,5",<INSUFICIENTE>,4,4
Q004474161,9,<ACEPTABLE>,8,9
Q799823558,8,<ACEPTABLE>,8,10
Q675600740,3,<ACEPTABLE>,7,8
Q205293180,-1,<INSUFICIENTE>,4,3
Q004474161,8,<ACEPTABLE>,7,7
Q799823558,4,<ACEPTABLE>,6,6
Q675600740,8,<ACEPTABLE>,5,6
Q205293180,"5,5",<INSUFICIENTE>,4,5
Q004474161,8,<EXCELENTE>,8,6
Q799823558,8,<EXCELENTE>,5,7
Q675600740,1,<INSUFICIENTE>,6,4
Q205293180,"1,5",<INSUFICIENTE>,4,3
Q004474161,9,<EXCELENTE>,8,10
Q799823558,8,<ACEPTABLE>,7,8
Q675600740,3,<ACEPTABLE>,8,6
Q205293180,0,<INSUFICIENTE>,4,3
Q004474161,7,<ACEPTABLE>,8,6
Q799823558,6,<ACEPTABLE>,5,6
Q675600740,-1,<ACEPTABLE>,5,6
Q205293180,"6,5",<ACEPTABLE>,7,6
Q004474161,3,<INSUFICIENTE>,8,5
Q799823558,5,<ACEPTABLE>,8,7
Q675600740,9,<ACEPTABLE>,"8,5",7
Q205293180,"3,5",<ACEPTABLE>,8,7
Q004474161,9,<ACEPTABLE>,8,9
Q799823558,8,<ACEPTABLE>,6,10
Q675600740,4,<ACEPTABLE>,7,6
Q205293180,"6,5",<ACEPTABLE>,8,7
Q004474161,9,<ACEPTABLE>,"4,5",7
Q799823558,7,<ACEPTABLE>,4,9
Q675600740,5,<INSUFICIENTE>,8,5
Q205293180,"6,5",<ACEPTABLE>,7,6
Q004474161,8,<ACEPTABLE>,6,10
Q799823558,8,<ACEPTABLE>,7,10
Q675600740,5,<ACEPTABLE>,8,9
Q205293180,"5,5",<INSUFICIENTE>,4,2
Q004474161,9,<EXCELENTE>,8,10
Q799823558,8,<ACEPTABLE>,6,9
Q675600740,4,<INSUFICIENTE>,5,5
Q205293180,"6,5",<ACEPTABLE>,8,6
Q004474161,8,<ACEPTABLE>,8,7
Q799823558,8,<ACEPTABLE>,8,9
