step,pregunta,respuesta,esperado,nota_directa,tiempo,entropia,perplejidad,masa_acumulada_top_3,masa_notas,masa_no_notas,margen_logit,diferencia_probabilidad,top_3_vocabulario_json,top_3_notas_json
0,Explica el ciclo TDD  y su importancia en el desarrollo de software.,"El TDD en inglés es Test-Driven Development, es un mecanismo de test independientes para el proceso de un proyecto. En primer lugar, está el test en rojo, es decir, los test de la práctica están fallando porque no está implementado. En segundo lugar, el test verde, es decir, se ha implementado los métodos necesarios para probar la ejecución. No importaría el largo del código sino su funcionamiento. Y, por último, está el refactor, se ha corregido dicha implementación para mejorar el código y su implementación. En otras palabras, no se modifica su funcionamiento, pero sí el código para hacerlo más dinámico. Es un ciclo el cuál empieza en rojo -> verde -> refactor. Nos ayuda a comprobar si los métodos implementados han sido utilizados en los test y qué está fallando.",9.0,8.0,21.21,0.02250974393863563,1.0157249210972499,0.9999939203262329,0.9999955169892594,4.483010740630178e-06,6.25,0.9959829486906528,"[{""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.9979093670845032, ""es_nota"": true}, {""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.0019264183938503265, ""es_nota"": true}, {""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.00015813004574738443, ""es_nota"": true}]","[{""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.9979093670845032, ""logit"": 26.5}, {""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.0019264183938503265, ""logit"": 20.25}, {""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.00015813004574738443, ""logit"": 17.75}]"
1,Compara TDD con un enfoque tradicional de testing en el desarrollo de software.,"El TDD nos ayuda a comprobar que la implementación de los métodos de la práctica y su uso sean correctos. Se prueba en un inicio que los test funcionan, es decir, fallan porque no hay implementación. Pasamos a implementar los métodos y comprobar su funcionamiento, es decir, pasarían a los test en verde. Corregimos el código, sin modificar su funcionamiento y logar la refactorización. Esto sería el TDD. Sin embargo, el enfoque tradicional de testing sería implementar los métodos de la práctica y al ejecutar, poder comprobar si funciona o no. Ahí sí falla, se cambiaría el método del test y se volvería a ejecutar. En este enfoque sería de muy buena práctica usar git para poder saber en qué punto de los test se encuentra la ejecución.",7.0,8.0,20.605,0.07030225812745294,1.0499366321427528,0.9999836683273315,0.9999882253763275,1.1774623672522466e-05,5.375,0.9880023649893701,"[{""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.9925990104675293, ""es_nota"": true}, {""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.004596645478159189, ""es_nota"": true}, {""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.0027880065608769655, ""es_nota"": true}]","[{""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.9925990104675293, ""logit"": 26.375}, {""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.004596645478159189, ""logit"": 21.0}, {""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.0027880065608769655, ""logit"": 20.5}]"
2,Describe las buenas prácticas en TDD y su impacto en la calidad del software.,"Las buenas prácticas del TDD son: 

* El código de cada test tiene que ser independiente de cada uno.

* La implementación debe de ser clara, con comentarios explicando qué realiza cada método.

* La implementación de cada test, de cada método para comprobar el test, tiene que ser independiente de los demás. 

* Primero se haría el test en rojo para comprobar su funcionalidad, en segundo lugar, se implementaría su funcionalidad que pasaría al test en verde. Y por último, haríamos el refactor mejorando el código y su implementación sin modificar su funcionalidad, para un buen uso del mismo y que esté mejor desarrollado.

El impacto de las buenas prácticas en el TDD causarían un impacto bueno en la calidad del software ya que vas probando si dichos test funcionan y comprobamos que esos métodos usados se ejecutan. En el caso que no se ejecute, podemos comprobar con los test en dónde en especifico está fallando.",6.0,8.0,21.199,0.053170047480277226,1.0375422223142898,0.9999951720237732,0.9999955976253307,4.402374669254527e-06,5.125,0.9881225395947695,"[{""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.9940332770347595, ""es_nota"": true}, {""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.005910737439990044, ""es_nota"": true}, {""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 5.113790393806994e-05, ""es_nota"": true}]","[{""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.9940332770347595, ""logit"": 26.375}, {""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.005910737439990044, ""logit"": 21.25}, {""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 5.113790393806994e-05, ""logit"": 16.5}]"
3,Explica la importancia de validar entradas en el contexto de TDD y cómo se relaciona con la robustez del software.,"La importancia de validar las entradas en el TDD es necesaria ya que implementa el código con datos verificados, es decir, si estamos comprobando los alumnos de una universidad, un alumno no puede tener años en negativo (-0 años), igual que si comprobamos el ID del estudiante, necesitamos verificar si existe ese ID, el alumno, etc. 

Es importante validar esos datos para realizar un buen proyecto y buen software a comprobar con el TDD ya que va a estar comprobado los test que se implementen en el código.",7.0,7.0,19.983,0.686885833911266,1.6098048800592137,0.9999714493751526,0.9999851093656518,1.4890634348230236e-05,1.5,0.6350867748260498,"[{""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.8174944519996643, ""es_nota"": true}, {""token"": ""6"", ""token_id"": 236825, ""probabilidad"": 0.1824076771736145, ""es_nota"": true}, {""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 6.933843542356044e-05, ""es_nota"": true}]","[{""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.8174944519996643, ""logit"": 25.5}, {""nota"": 6, ""token"": ""6"", ""token_id"": 236825, ""probabilidad"": 0.1824076771736145, ""logit"": 24.0}, {""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 6.933843542356044e-05, ""logit"": 16.125}]"
4,Explica el ciclo TDD  y su importancia en el desarrollo de software.,"Es una metodología en el desarrolo de proyectos software que se divide en fases, la fase en rojo nos informa que los test no han sido cubiertos de forma correcta y por lo tanto han fallado, la fase verde es la que nos indica que esos test han sido satisfactorios y cubren con lo requerido, y la ultima fase llamada refactor, es la que se encarga de limpiar el codigo y su diseño, evita codigo duplicado y por lo tanto el fin de este ciclo Test Driven Development",8.0,8.0,20.1,0.090215262604483,1.0645290075586264,0.9999900460243225,0.9999916294533717,8.370546628277964e-06,4.5,0.9778196569532156,"[{""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.988804280757904, ""es_nota"": true}, {""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.010984623804688454, ""es_nota"": true}, {""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.00020119039982091635, ""es_nota"": true}]","[{""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.988804280757904, ""logit"": 26.625}, {""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.010984623804688454, ""logit"": 22.125}, {""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.00020119039982091635, ""logit"": 18.125}]"
5,Compara TDD con un enfoque tradicional de testing en el desarrollo de software.,"El Test Driven Development nos permite probar paso a paso durante el ciclo del desarrolo software a diferencia del tradicional que es mas rigido, el TDD nos permite realizar pruebas mas frecuentes y de forma mas flexible, por ejemplo, si tuvieramos que desarrollar un software, seria mas fiable una metodologia TDD antes que la tradicional para asegurar que las funcionalidades requeridas se cumplen de forma adecuada sin errores y cubriendo los test.",6.0,6.0,19.957,1.0484378053485652,2.0682890275873103,0.9999856352806091,0.9999953096750053,4.690324994727213e-06,0.125,0.06200322508811951,"[{""token"": ""6"", ""token_id"": 236825, ""probabilidad"": 0.5276732444763184, ""es_nota"": true}, {""token"": ""5"", ""token_id"": 236810, ""probabilidad"": 0.46567001938819885, ""es_nota"": true}, {""token"": ""4"", ""token_id"": 236812, ""probabilidad"": 0.006642425898462534, ""es_nota"": true}]","[{""nota"": 6, ""token"": ""6"", ""token_id"": 236825, ""probabilidad"": 0.5276732444763184, ""logit"": 25.375}, {""nota"": 5, ""token"": ""5"", ""token_id"": 236810, ""probabilidad"": 0.46567001938819885, ""logit"": 25.25}, {""nota"": 4, ""token"": ""4"", ""token_id"": 236812, ""probabilidad"": 0.006642425898462534, ""logit"": 21.0}]"
6,Describe las buenas prácticas en TDD y su impacto en la calidad del software.,"Las buenas practicas del Test Driven Development serian el hecho de realizar test de cobertura que definan lo que queremos que cubra el codigo, es una buena practica el realizar primero los test antes que el codigo para que los test diseñen el codigo y no viceversa, otras buenas practicas son el realizar pruebas y test a lo largo del ciclo del software, no solo al final, ya que si realizamos test a lo largo del proyecto nos facilitaria posibles errores graves que pudieran suceder si fueramos a arreglarlo al final del desarrolo, esta metodologia tiene un gran impacto positivo siendo mas eficiente a la hora de seguir el ciclo de vida del software.",8.0,8.0,20.119,0.6052726622177139,1.5212662378583828,0.9999918341636658,0.9999924688853942,7.531114605829892e-06,1.75,0.7038930058479309,"[{""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.8519375324249268, ""es_nota"": true}, {""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.14804452657699585, ""es_nota"": true}, {""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 9.77930540102534e-06, ""es_nota"": true}]","[{""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.8519375324249268, ""logit"": 25.625}, {""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.14804452657699585, ""logit"": 23.875}, {""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 9.77930540102534e-06, ""logit"": 14.25}]"
7,Explica la importancia de validar entradas en el contexto de TDD y cómo se relaciona con la robustez del software.,"Es importante validar las entradas del Test Driven Development en relacion al contexto, cuanto mas test y validaciones se realicen, y estas se cubran y se aprueben, mayor sera la fiabilidad del software, haciendolo mas estable y por ello reduciendo considerablemente errores criticos. Son buenas practicas si queremos un software seguro.",7.0,7.0,20.049,0.07937780392621879,1.056562275026626,0.999995768070221,0.999996606253027,3.3937469730016545e-06,4.625,0.9805537853389978,"[{""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.990261971950531, ""es_nota"": true}, {""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.009708186611533165, ""es_nota"": true}, {""token"": ""6"", ""token_id"": 236825, ""probabilidad"": 2.5616196580813266e-05, ""es_nota"": true}]","[{""nota"": 7, ""token"": ""7"", ""token_id"": 236832, ""probabilidad"": 0.990261971950531, ""logit"": 26.5}, {""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.009708186611533165, ""logit"": 21.875}, {""nota"": 6, ""token"": ""6"", ""token_id"": 236825, ""probabilidad"": 2.5616196580813266e-05, ""logit"": 15.9375}]"
8,Explica el ciclo TDD  y su importancia en el desarrollo de software.,"El ciclo TDD (Test-Driven Development) consiste en 3 pasos cíclicos para desarrollar un codigo por completo de manera fiable y modular. Los 3 pasos son los siguientes:

1. Rojo: se hacen test que luego comprobarán el codigo del proyecto. Además, se prueban para que el test falle.

2. Verde: se desarrolla el minimo codigo con el que se pueda pasar el test de esa parte del codigo. Y se prueba para que todos los test pasen.

3. Refactor: se mejora el codigo manteniendo las pruebas test en verde.",10.0,9.0,20.117,0.33719660908427346,1.2632994113368043,0.9999611377716064,0.9999823772411525,1.762275884753528e-05,2.75,0.8791275285184383,"[{""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.9391664266586304, ""es_nota"": true}, {""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.06003889814019203, ""es_nota"": true}, {""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.000755778222810477, ""es_nota"": true}]","[{""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.9391664266586304, ""logit"": 25.75}, {""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.06003889814019203, ""logit"": 23.0}, {""nota"": 1, ""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.000755778222810477, ""logit"": 18.625}]"
9,Compara TDD con un enfoque tradicional de testing en el desarrollo de software.,"El enfoque tradicional de testing era que priemro se desarrollaba el codigo del proyecto y luego se hacián test para probar que el codigo fucnionase correctamente. Sin embargo, el enfoque TDD, es al contrario, primero se hacen los test y luego se desarrolla el codigo del proyacto que va a hacer que esos test los pasen.

 

El enfoque de desarrollo del TDD hace que el codigo sea mas limpio, fiable y modular. Ya que esta estructura junto con los frameworks de testing pueden confirmar que se ha desarrollado exclusivamente el codigo justo y necesario para cada funcionalidad.",9.0,9.0,20.738,0.10031311154007867,1.0720060973267092,0.9999614953994751,0.9999832009061869,1.6799093813135713e-05,4.375,0.9748771796002984,"[{""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.9873055219650269, ""es_nota"": true}, {""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.01242834236472845, ""es_nota"": true}, {""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.00022763303422834724, ""es_nota"": true}]","[{""nota"": 9, ""token"": ""9"", ""token_id"": 236819, ""probabilidad"": 0.9873055219650269, ""logit"": 25.5}, {""nota"": 8, ""token"": ""8"", ""token_id"": 236828, ""probabilidad"": 0.01242834236472845, ""logit"": 21.125}, {""nota"": 1, ""token"": ""1"", ""token_id"": 236770, ""probabilidad"": 0.00022763303422834724, ""logit"": 17.125}]"
